web_scraper_order,web_scraper_start_url,data
"1774426831-396","https://musicbrainz.org/genres","cinematic classical"
"1774426831-397","https://musicbrainz.org/genres","ciranda"
"1774426831-398","https://musicbrainz.org/genres","circus march"
"1774426831-399","https://musicbrainz.org/genres","city pop"
"1774426831-400","https://musicbrainz.org/genres","classic blues"
"1774426831-401","https://musicbrainz.org/genres","classic country"
"1774426831-402","https://musicbrainz.org/genres","classic jazz"
"1774426831-403","https://musicbrainz.org/genres","classic ragtime"
"1774426831-404","https://musicbrainz.org/genres","classic rock"
"1774426831-405","https://musicbrainz.org/genres","classical"
"1774426831-406","https://musicbrainz.org/genres","classical crossover"
"1774426831-407","https://musicbrainz.org/genres","classical period"
"1774426831-408","https://musicbrainz.org/genres","close harmony"
"1774426831-409","https://musicbrainz.org/genres","cloud rap"
"1774426831-410","https://musicbrainz.org/genres","club"
"1774426831-411","https://musicbrainz.org/genres","cocktail nation"
"1774426831-412","https://musicbrainz.org/genres","coco"
"1774426831-413","https://musicbrainz.org/genres","coke rap"
"1774426831-414","https://musicbrainz.org/genres","coladeira"
"1774426831-415","https://musicbrainz.org/genres","coldwave"
"1774426831-416","https://musicbrainz.org/genres","colindă"
"1774426831-417","https://musicbrainz.org/genres","colour bass"
"1774426831-418","https://musicbrainz.org/genres","comédie-ballet"
"1774426831-419","https://musicbrainz.org/genres","comedy"
"1774426831-420","https://musicbrainz.org/genres","comedy hip hop"
"1774426831-421","https://musicbrainz.org/genres","comedy rock"
"1774426831-422","https://musicbrainz.org/genres","comfy synth"
"1774426831-423","https://musicbrainz.org/genres","compas"
"1774426831-424","https://musicbrainz.org/genres","complextro"
"1774426831-425","https://musicbrainz.org/genres","concert band"
"1774426831-426","https://musicbrainz.org/genres","concertina band"
"1774426831-427","https://musicbrainz.org/genres","concerto"
"1774426831-428","https://musicbrainz.org/genres","concerto for orchestra"
"1774426831-429","https://musicbrainz.org/genres","concerto grosso"
"1774426831-430","https://musicbrainz.org/genres","conducted improvisation"
"1774426831-431","https://musicbrainz.org/genres","conga"
"1774426831-432","https://musicbrainz.org/genres","congolese rumba"
"1774426831-433","https://musicbrainz.org/genres","conscious hip hop"
"1774426831-434","https://musicbrainz.org/genres","contemporary christian"
"1774426831-435","https://musicbrainz.org/genres","contemporary classical"
"1774426831-436","https://musicbrainz.org/genres","contemporary country"
"1774426831-437","https://musicbrainz.org/genres","contemporary folk"
"1774426831-438","https://musicbrainz.org/genres","contemporary gospel"
"1774426831-439","https://musicbrainz.org/genres","contemporary jazz"
"1774426831-440","https://musicbrainz.org/genres","contemporary r&b"
"1774426831-441","https://musicbrainz.org/genres","contenance angloise"
"1774426831-442","https://musicbrainz.org/genres","contra"
"1774426831-443","https://musicbrainz.org/genres","cool jazz"
"1774426831-444","https://musicbrainz.org/genres","coon song"
"1774426831-445","https://musicbrainz.org/genres","copla"
"1774426831-446","https://musicbrainz.org/genres","corrido"
"1774426831-447","https://musicbrainz.org/genres","corrido tumbado"
"1774426831-448","https://musicbrainz.org/genres","cosmic country"
